Classified State: STABLE    | Actual State: STABLE        | Entropy: -1.0000 | LLE: -0.5792 | Params: {'alpha': -1.626168, 'mu': -0.114650, 'gamma': 2.990444, 'p': 1.764971, 's': 0.862778} | T_SKIP: 100 | T_END: 1000
Classified State: QUASI_PERIODIC | Actual State: QUASI_PERIODIC | Entropy: 0.6291 | LLE: 0.0109 | Params: {'alpha': 0.747100, 'mu': 0.028186, 'gamma': 1.065246, 'p': 2.378801, 's': 1.138726} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE    | Actual State: STABLE        | Entropy: -1.0000 | LLE: -0.6823 | Params: {'alpha': -1.676687, 'mu': -0.627127, 'gamma': 1.545364, 'p': 1.680960, 's': 1.099277} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0002 | Params: {'alpha': 0.704610, 'mu': -0.727183, 'gamma': 1.541223, 'p': 1.164680, 's': 1.206837} | T_SKIP: 100 | T_END: 1000
Classified State: QUASI_PERIODIC | Actual State: QUASI_PERIODIC | Entropy: 0.6154 | LLE: 0.0079 | Params: {'alpha': -0.338703, 'mu': 0.612284, 'gamma': 2.784250, 'p': 0.361514, 's': 0.749006} | T_SKIP: 100 | T_END: 1000
Classified State: QUASI_PERIODIC | Actual State: QUASI_PERIODIC | Entropy: 0.5680 | LLE: 0.0075 | Params: {'alpha': 1.533037, 'mu': 0.386484, 'gamma': 0.561340, 'p': 2.212286, 's': 0.608436} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: -0.0000 | Params: {'alpha': 0.409701, 'mu': -0.830894, 'gamma': 0.425279, 'p': 1.777662, 's': 1.636388} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC   | Actual State: CHAOTIC       | Entropy: 0.4578 | LLE: 0.0964 | Params: {'alpha': -0.550210, 'mu': 0.691505, 'gamma': 1.089384, 'p': 4.010755, 's': 1.677349} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE    | Actual State: STABLE        | Entropy: -1.0000 | LLE: -0.3069 | Params: {'alpha': -0.909865, 'mu': -0.915799, 'gamma': 2.933790, 'p': 1.553130, 's': 1.256595} | T_SKIP: 100 | T_END: 1000Classified State: QUASI_PERIODIC | Actual State:          | Entropy: 0.6264 | LLE: 0.0253 | Params: {'alpha': -0.713740, 'mu': 0.712723, 'gamma': 1.171068, 'p': 1.215943, 's': 1.234585} | T_SKIP: 100 | T_END: 1000
Classified State: QUASI_PERIODIC | Actual State: QUASI_PERIODIC | Entropy: 0.6043 | LLE: 0.0224 | Params: {'alpha': -1.462770, 'mu': 0.679986, 'gamma': 2.994940, 'p': 0.344294, 's': 1.700478} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC | Actual State: PERIODIC       | Entropy: 0.0886 | LLE: -0.0022 | Params: {'alpha': -0.389804, 'mu': 0.373878, 'gamma': 0.571692, 'p': 1.835144, 's': 1.362240} | T_SKIP: 100 | T_END: 1000
Classified State: QUASI_PERIODIC | Actual State: QUASI_PERIODIC | Entropy: 0.6369 | LLE: 0.0083 | Params: {'alpha': -0.506702, 'mu': 0.434821, 'gamma': 2.679113, 'p': 0.326978, 's': 1.149124} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0007 | Params: {'alpha': 1.594550, 'mu': -0.535135, 'gamma': 0.146521, 'p': 2.635881, 's': 1.444781} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0007 | Params: {'alpha': 1.279655, 'mu': -0.581170, 'gamma': 0.262984, 'p': 2.814682, 's': 0.876146} | T_SKIP: 100 | T_END: 1000
Classified State: QUASI_PERIODIC | Actual State: DIVERGENT| Entropy: -1.0000 | LLE: 0.0019 | Params: {'alpha': 0.061023, 'mu': -0.527218, 'gamma': 1.758415, 'p': 1.865694, 's': 1.710797} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0000 | Params: {'alpha': 0.675289, 'mu': -0.731167, 'gamma': 1.271466, 'p': 1.882112, 's': 1.566238} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE    | Actual State: STABLE        | Entropy: 0.2574 | LLE: -0.1242 | Params: {'alpha': -0.741697, 'mu': 0.007244, 'gamma': 0.719162, 'p': 2.766211, 's': 0.775932} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0008 | Params: {'alpha': 1.293877, 'mu': -0.109828, 'gamma': 2.079866, 'p': 0.064053, 's': 1.131771} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE    | Actual State: STABLE        | Entropy: 0.3346 | LLE: -0.1104 | Params: {'alpha': -1.319341, 'mu': -0.142495, 'gamma': 1.081778, 'p': 0.200606, 's': 1.638727} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT      Entropy: -1.0000 | LLE: 0.0002 | Params: {'alpha': 0.244774, 'mu': -0.210894, 'gamma': 2.044684, 'p': 4.942843, 's': 1.727838} | T_SKIP: 100 | T_END: 1000
Classified State: QUASI_PERIODIC | Actual State: QUASI_PERIODIC | Entropy: 0.5937 | LLE: 0.0098 | Params: {'alpha': 0.986367, 'mu': 0.727019, 'gamma': 2.667351, 'p': 4.033762, 's': 0.739880} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE    | Actual State: STABLE        | Entropy: -1.0000 | LLE: -0.1019 | Params: {'alpha': -1.508952, 'mu': -0.136141, 'gamma': 2.930551, 'p': 0.300662, 's': 1.304790} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0005 | Params: {'alpha': 0.160058, 'mu': -0.325489, 'gamma': 2.020401, 'p': 3.179595, 's': 0.767907} | T_SKIP: 100 | T_END: 1000
Classified State: STABLE    | Actual State: STABLE        | Entropy: -1.0000 | LLE: -0.1195 | Params: {'alpha': -0.015572, 'mu': -0.197643, 'gamma': 0.187892, 'p': 4.772841, 's': 0.823759} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT | Actual State: DIVERGENT     | Entropy: -1.0000 | LLE: 0.0002 | Params: {'alpha': 0.699713, 'mu': -0.403742, 'gamma': 0.958408, 'p': 2.334249, 's': 0.757772} | T_SKIP: 100 | T_END: 1000

Classified State: DIVERGENT      | Actual State:          | Entropy: -1.0000 | LLE: 0.0005 | Params: {'alpha': 1.275163, 'mu': -0.792038, 'gamma': 1.892940, 'p': 0.505969, 's': 1.589931} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State:          | Entropy: 0.5975 | LLE: 0.0429 | Params: {'alpha': -1.829978, 'mu': 0.752864, 'gamma': 0.215955, 'p': 0.566026, 's': 0.762193} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State:          | Entropy: 0.5356 | LLE: 0.0888 | Params: {'alpha': -0.379995, 'mu': 0.417627, 'gamma': 0.514597, 'p': 3.615588, 's': 1.407238} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC       | Actual State: PERIODIC | Entropy: 0.3067 | LLE: 0.0012 | Params: {'alpha': -0.562163, 'mu': 0.960502, 'gamma': 2.917233, 'p': 2.752152, 's': 0.706340} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State: CHAOTIC  | Entropy: 0.5618 | LLE: 0.0933 | Params: {'alpha': -0.25666941797160225, 'mu': 0.7025530784320924, 'gamma': 1.1749507114650872, 'p': 3.2263862949653825, 's': 1.7947516709537519} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State: CHAOTIC  | Entropy: 0.5591 | LLE: 0.1204 | Params: {'alpha': -0.9309152277301411, 'mu': 0.8596049975729996, 'gamma': 1.1262191988642656, 'p': 4.910674249326474, 's': 1.5008269557976666} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State: CHAOTIC  | Entropy: 0.5921 | LLE: 0.0613 | Params: {'alpha': -0.18778314908646232, 'mu': 0.5931432773956635, 'gamma': 0.8399904583029612, 'p': 3.930354636842374, 's': 1.956664531464529} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State:          | Entropy: 0.5882 | LLE: 0.1157 | Params: {'alpha': -0.6551215059870494, 'mu': 0.8962313963685649, 'gamma': 1.7131731100888008, 'p': 4.204743489297797, 's': 0.9004992301005033} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC       | Actual State:          | Entropy: 0.0886 | LLE: 0.0003 | Params: {'alpha': -1.622717315514128, 'mu': 0.4754626464662295, 'gamma': 1.544722006304205, 'p': 4.9719203046460985, 's': 0.8427502221446452} | T_SKIP: 100 | T_END: 1000
Classified State: CHAOTIC        | Actual State:          | Entropy: 0.5882 | LLE: 0.1157 | Params: {'alpha': -0.6551215059870494, 'mu': 0.8962313963685649, 'gamma': 1.7131731100888008, 'p': 4.204743489297797, 's': 0.9004992301005033} | T_SKIP: 100 | T_END: 1000
Classified State: PERIODIC       | Actual State:          | Entropy: 0.0886 | LLE: 0.0003 | Params: {'alpha': -1.622717315514128, 'mu': 0.4754626464662295, 'gamma': 1.544722006304205, 'p': 4.9719203046460985, 's': 0.8427502221446452} | T_SKIP: 100 | T_END: 1000
Classified State: DIVERGENT      | Actual State:          | Entropy: -1.0000 | LLE: 0.0006 | Params: {'alpha': 1.2119299343233751, 'mu': -0.8817689116871072, 'gamma': 2.8575975361074986, 'p': 3.547868350163512, 's': 1.2735370471615537} | T_SKIP: 100 | T_END: 1000
Classified State: QUASI_PERIODIC | Actual State:          | Entropy: 0.6518 | LLE: 0.0232 | Params: {'alpha': 1.4676374739352376, 'mu': 0.3048015844358323, 'gamma': 2.1171761009149392, 'p': 3.7962675829298083, 's': 1.270577938829581} | T_SKIP: 100 | T_END: 1000
