Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0028 | Params: {'alpha': 8.285667116519406, 'mu': -0.7495090300150324, 'gamma': 2.116617846403776, 'p': 1.470123217837061, 's': 4.935024315611291} | R21: 0.5000 | phi21: 4.7123 | R31: 0.3333 | phi31: 3.1414 | T_SKIP: 500 | T_END: 1000
Classified State: STABLE         | Entropy: -1.0000 | LLE: -0.5510 | Params: {'alpha': -1.2631926120776487, 'mu': -0.5110847361103166, 'gamma': 1.9646724684532866, 'p': 4.063156436932379, 's': 1.1377832283866436} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 9.037310256112148, 'mu': 3.628092921931584, 'gamma': 2.979105843962273, 'p': 0.27848005354580374, 's': 0.8770960550475021} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 8.35894859581645, 'mu': 6.315097498495237, 'gamma': 4.840555744771337, 'p': 1.5194926460108253, 's': 1.8437806387456974} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 5.205338676577362, 'mu': 2.769679020672472, 'gamma': 2.4397871415376975, 'p': 2.3103106852586732, 's': 4.624386278799168} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 9.043015516492751, 'mu': 9.187182966001318, 'gamma': 0.14507085705301898, 'p': 1.8341298587923427, 's': 1.9640463538326602} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0017 | Params: {'alpha': 9.659686999215896, 'mu': -0.48483250170760794, 'gamma': 0.31279674959084436, 'p': 4.484991487765586, 's': 3.7256712194255486} | R21: 0.5000 | phi21: 4.7123 | R31: 0.3333 | phi31: 3.1415 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 3.6813336985240976, 'mu': 4.2279492131104055, 'gamma': 4.181504013857908, 'p': 4.366969748729889, 's': 3.7962653520188394} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 2.5567371443205236, 'mu': 6.214533749261934, 'gamma': 2.8474895607994553, 'p': 0.8514047687031984, 's': 0.7760535067236202} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: PERIODIC       | Entropy:  0.0654 | LLE:  0.0053 | Params: {'alpha': 6.009318176912197, 'mu': 1.4643210150008832, 'gamma': 4.871035091447664, 'p': 4.19372808179356, 's': 2.1285418270491814} | R21: 0.0848 | phi21: 0.2398 | R31: 0.0077 | phi31: 3.5441 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 2.9569771955376343, 'mu': 1.8168537485521021, 'gamma': 2.7132781303287357, 'p': 1.1875439574064623, 's': 1.4149726009848462} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: PERIODIC       | Entropy:  0.1552 | LLE:  0.0047 | Params: {'alpha': 5.576041095321289, 'mu': 0.15272525822173555, 'gamma': 0.8514149335683995, 'p': 0.6654923542413932, 's': 3.5022861867834134} | R21: 0.0939 | phi21: 5.9632 | R31: 0.0274 | phi31: 4.4100 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 5.207849466136004, 'mu': 8.105557866656483, 'gamma': 1.7909247418310377, 'p': 3.3694752469941953, 's': 4.476678454567978} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 8.57095906339773, 'mu': 4.094529516917176, 'gamma': 3.7549730530729586, 'p': 1.5406390404986159, 's': 3.002167279859754} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 8.870716613171595, 'mu': 6.929439733999634, 'gamma': 1.692134448006102, 'p': 4.875290822198004, 's': 3.4437644738546287} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0012 | Params: {'alpha': 3.307652092051983, 'mu': -0.8394178279752447, 'gamma': 3.8106338275404648, 'p': 1.56702113136032, 's': 3.5081489150199534} | R21: 0.5000 | phi21: 4.7124 | R31: 0.3333 | phi31: 3.1416 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0005 | Params: {'alpha': 1.3305142709212263, 'mu': -0.8293782452822602, 'gamma': 2.2176372431188933, 'p': 0.8606856891195747, 's': 3.682323660305531} | R21: 0.5000 | phi21: 4.7126 | R31: 0.3333 | phi31: 3.1420 | T_SKIP: 500 | T_END: 1000
Classified State: PERIODIC       | Entropy:  0.2663 | LLE:  0.0054 | Params: {'alpha': 7.083370498498988, 'mu': 0.5104594939850555, 'gamma': 1.6773535241616135, 'p': 1.9392487256182283, 's': 1.6434450479656975} | R21: 0.1542 | phi21: 0.0799 | R31: 0.0228 | phi31: 0.1445 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 8.924400955377006, 'mu': 2.8125783628427516, 'gamma': 2.9675622266156862, 'p': 3.417574480713312, 's': 2.467906878621875} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': -0.6167529766059805, 'mu': 9.005705986354059, 'gamma': 4.295067989175709, 'p': 0.8190872098978841, 's': 3.1728076493197683} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 2.578781010251727, 'mu': 1.1933606351197414, 'gamma': 1.1603253249758256, 'p': 2.894063026235967, 's': 4.38198075484096} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0003 | Params: {'alpha': 4.121757585871424, 'mu': 0.13193806325015212, 'gamma': 2.66022161228206, 'p': 4.880761506081425, 's': 4.161614542559492} | R21: 0.5000 | phi21: 4.7124 | R31: 0.3333 | phi31: 3.1416 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 7.893351438922677, 'mu': 1.9718185248047484, 'gamma': 3.318753551679082, 'p': 2.6073544494150713, 's': 1.9269058626196407} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 5.971052403767532, 'mu': 6.922030704046629, 'gamma': 3.6516866949681113, 'p': 2.167890490734232, 's': 3.0924876253886087} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 1.1853285888130545, 'mu': 2.8709258111746343, 'gamma': 0.4642558519935386, 'p': 0.44488801473623163, 's': 1.629849440281922} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0004 | Params: {'alpha': 1.164069064793357, 'mu': -0.3143872697879797, 'gamma': 0.49018666722755655, 'p': 2.414735825741049, 's': 3.641696372217159} | R21: 0.5000 | phi21: 4.7123 | R31: 0.3333 | phi31: 3.1415 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': -0.1398544381070792, 'mu': 5.332555154976405, 'gamma': 1.3734354384178338, 'p': 4.168675793609913, 's': 4.128068435305876} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 7.442870974309216, 'mu': 8.110367903947303, 'gamma': 0.5289473365997663, 'p': 1.8223552482240901, 's': 1.893903290667992} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 4.7825330908789, 'mu': 3.288212934248298, 'gamma': 1.2513455508043516, 'p': 3.2150282913299773, 's': 0.6646467901867953} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': -0.8390374436075065, 'mu': 6.083234240569581, 'gamma': 2.938134148797865, 'p': 0.8607586453084548, 's': 0.27732829578138496} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: PERIODIC       | Entropy:  0.2646 | LLE:  0.0080 | Params: {'alpha': 9.274742675651765, 'mu': 0.5736754846172543, 'gamma': 0.42306435329409664, 'p': 3.102659390439624, 's': 0.7659285009018113} | R21: 0.1742 | phi21: 0.0750 | R31: 0.0340 | phi31: 0.1313 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 4.017467435967646, 'mu': 2.3797117711548728, 'gamma': 1.5100666146595179, 'p': 3.8057987111370997, 's': 0.7235592896265464} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:  0.0002 | Params: {'alpha': 0.5855161201802384, 'mu': -0.25174515205291814, 'gamma': 3.7770818051894497, 'p': 4.251873339216299, 's': 0.834677279058817} | R21: 0.5000 | phi21: 4.7127 | R31: 0.3333 | phi31: 3.1422 | T_SKIP: 500 | T_END: 1000
Classified State: PERIODIC       | Entropy:  0.0654 | LLE:  0.0009 | Params: {'alpha': 0.10117885125487591, 'mu': 1.6820949112180257, 'gamma': 4.527350028905246, 'p': 3.3082738346591634, 's': 2.355751541627955} | R21: 0.1492 | phi21: 0.6762 | R31: 0.0284 | phi31: 1.1691 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 1.6057506434424043, 'mu': 3.6902540187426567, 'gamma': 3.1978317960050697, 'p': 3.2849220410883477, 's': 2.074430441003316} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: STABLE         | Entropy:  0.2630 | LLE: -0.0863 | Params: {'alpha': -0.9724452974871358, 'mu': 0.5995100910454687, 'gamma': 3.029169085770878, 'p': 3.770784990313693, 's': 2.5819648259628183} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 4.7646849811820875, 'mu': 5.98387300242857, 'gamma': 4.657504300763531, 'p': 3.98441257477566, 's': 3.35816815240422} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: PERIODIC       | Entropy:  0.0654 | LLE:  0.0042 | Params: {'alpha': 0.7879591991855923, 'mu': 1.3528233663807692, 'gamma': 2.300092427400944, 'p': 3.525756987026048, 's': 1.169463668297292} | R21: 0.1813 | phi21: 0.5097 | R31: 0.0434 | phi31: 0.8883 | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 5.249282063876018, 'mu': 9.804960959106246, 'gamma': 4.907779494260795, 'p': 1.994295187504664, 's': 1.1416735292314701} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
Classified State: DIVERGENT      | Entropy: -1.0000 | LLE:     nan | Params: {'alpha': 7.6217958351583, 'mu': 3.8923307259811457, 'gamma': 0.791622077553935, 'p': 4.984701549393236, 's': 0.8940688807996372} | R21:    nan | phi21:    nan | R31:    nan | phi31:    nan | T_SKIP: 500 | T_END: 1000
